obsnme,head,date,time
ob_152_23,4743.37982,1991-03-11,00:00:00
ob_152_24,4745.84982,1992-03-12,00:00:00
ob_152_25,4745.24982,1993-03-26,00:00:00
ob_152_26,4744.729820000001,1994-03-24,00:00:00
ob_152_27,4742.99982,1995-03-17,00:00:00
ob_152_28,4746.729820000001,1996-02-27,00:00:00
ob_152_29,4747.8198200000015,1997-03-28,00:00:00
ob_152_30,4744.37982,1998-04-02,00:00:00
ob_152_31,4743.71982,1999-03-11,00:00:00
ob_152_32,4742.36982,2000-03-14,00:00:00
ob_152_33,4741.8198200000015,2001-03-13,00:00:00
ob_152_34,4738.59982,2002-03-12,00:00:00
ob_152_35,4740.20982,2003-03-18,00:00:00
ob_152_36,4740.3198200000015,2004-04-01,00:00:00
ob_152_37,4737.75982,2004-12-16,00:00:00
ob_152_38,4738.66982,2005-02-02,00:00:00
ob_152_39,4739.32982,2005-03-07,00:00:00
ob_152_40,4738.87982,2005-04-11,00:00:00
ob_152_41,4738.78982,2005-05-03,00:00:00
ob_152_42,4742.3198200000015,2005-06-07,00:00:00
ob_152_43,4743.54982,2005-07-07,00:00:00
ob_152_44,4744.1098200000015,2005-08-01,00:00:00
ob_152_45,4744.04982,2005-09-02,00:00:00
ob_152_46,4734.6498200000015,2005-10-05,00:00:00
ob_152_47,4738.45982,2005-11-07,00:00:00
ob_152_48,4741.90982,2005-12-12,00:00:00
ob_152_49,4742.90982,2006-01-12,00:00:00
ob_152_50,4743.239820000002,2006-03-01,00:00:00
ob_152_51,4742.49982,2006-04-11,00:00:00
ob_152_52,4741.8998200000015,2006-05-08,00:00:00
ob_152_53,4742.80982,2006-06-13,00:00:00
ob_152_54,4740.45982,2006-07-05,00:00:00
ob_152_55,4742.49982,2006-08-02,00:00:00
ob_152_56,4735.41982,2006-10-31,00:00:00
ob_152_57,4741.92982,2006-12-18,00:00:00
ob_152_58,4742.449820000002,2007-01-10,00:00:00
ob_152_59,4741.88982,2007-02-06,00:00:00
ob_152_60,4746.279820000002,2007-03-19,00:00:00
ob_152_61,4741.04982,2007-04-16,00:00:00
ob_152_62,4740.08982,2007-05-07,00:00:00
ob_152_63,4745.08982,2007-06-06,00:00:00
ob_152_64,4736.62982,2007-12-27,00:00:00
ob_152_65,4740.029820000002,2008-03-13,00:00:00
ob_152_66,4743.79982,2008-06-25,00:00:00
ob_152_67,4738.40982,2008-12-23,00:00:00
ob_152_68,4739.439820000001,2009-03-19,00:00:00
ob_152_69,4742.32982,2009-06-30,00:00:00
ob_152_70,4739.41982,2010-01-14,00:00:00
ob_152_71,4739.87982,2010-03-19,00:00:00
ob_152_72,4744.3998200000015,2010-07-02,00:00:00
ob_152_73,4736.01982,2010-09-30,00:00:00
ob_152_74,4743.04982,2011-01-19,00:00:00
ob_152_75,4741.21982,2011-05-03,00:00:00
ob_152_76,4744.17982,2011-12-01,00:00:00
ob_152_77,4742.189820000001,2012-03-12,00:00:00
ob_152_78,4741.8998200000015,2012-10-23,00:00:00
